ID;Sample;L;Trait;Right;Left
7;1;260;C20;12.8;14.1
8;1;260;C20;12.8;14.5
9;1;260;C20;12.8;11.5
10;1;265;C20;12.8;14.1
11;1;255;C20;12.8;12.8
12;1;240;C20;12.8;11.5
13;1;257.5;C20;15.4;14.1
14;1;262.5;C20;12.8;11.5
15;1;265;C20;14.1;15.4
16;1;265;C20;14.7;12.8
17;2;270;C20;12;12
18;2;240;C20;13.7;11
19;2;252;C20;11;11
20;2;261;C20;16;13
21;2;270;C20;14;14
22;2;257;C20;12;12
23;2;270;C20;14;14
24;2;278;C20;14;14
25;2;257;C20;11;12
26;2;252;C20;13;14
27;2;261;C20;13;11
28;2;252;C20;14;14
29;2;244;C20;13;13
30;2;244;C20;14;11
31;2;239;C20;14;11
32;2;278;C20;13;13
33;2;252;C20;13;13
34;2;252;C20;13;11
35;2;261;C20;14;14
36;2;252;C20;12;12.6
37;3;252.3;C20;21.7;18.1
38;3;269.7;C20;19.9;18.1
39;3;243.6;C20;19.9;18.1
40;3;234.9;C20;16.2;14.4
41;3;252.3;C20;18.1;14.4
42;3;261;C20;18.1;16.2
43;3;226.2;C20;18.1;14.4
44;3;226.2;C20;14.4;18.1
45;3;252.3;C20;15;14.4
46;3;226.2;C20;18.1;18.1
47;3;261;C20;14.4;18.1
48;3;243.6;C20;14.4;21.7
49;3;261;C20;18.1;21.7
50;3;252.3;C20;25.3;25.3
51;3;247.95;C20;18.1;18.1
52;3;261;C20;18.1;18.1
53;3;247.95;C20;21.7;21.7
54;3;230.55;C20;18.1;21.7
55;3;230.55;C20;18.05;18.05
56;3;234.9;C20;18.05;14.44
57;3;265.35;C20;14.44;21.66
1;1;260;C21;10.2;10.2
2;1;260;C21;12.8;12.8
3;1;270;C21;15.4;15.4
4;1;270;C21;12.8;10.2
5;1;260;C21;14.1;14.1
6;1;255;C21;12.8;12.8
7;1;260;C21;12.8;14.1
8;1;260;C21;12.8;12.8
9;1;260;C21;9;9
10;1;265;C21;11.5;11.5
11;1;255;C21;12.8;12.8
12;1;240;C21;11.5;11.5
13;1;257.5;C21;11.5;10.2
14;1;262.5;C21;11.5;10.2
15;1;265;C21;10.2;12.8
16;1;265;C21;10.2;8.3
17;2;270;C21;11;12
18;2;240;C21;12.6;14
19;2;252;C21;11;11
20;2;261;C21;9;9
21;2;270;C21;11;11
22;2;257;C21;9;9
23;2;270;C21;7;9
24;2;278;C21;11;11
25;2;257;C21;11;11
26;2;252;C21;13;13
27;2;261;C21;7;10
28;2;252;C21;11;9
29;2;244;C21;11;11
30;2;244;C21;11;13
31;2;239;C21;11;11
32;2;278;C21;7;9
33;2;252;C21;11;11
34;2;252;C21;11;11
35;2;261;C21;14;14
36;2;252;C21;9;7
37;3;252.3;C21;25.3;25.3
38;3;269.7;C21;32.5;32.5
39;3;243.6;C21;25.3;28.9
40;3;234.9;C21;14.4;14.4
41;3;252.3;C21;25.3;25.3
42;3;261;C21;28.9;28.9
43;3;226.2;C21;21.7;18.1
44;3;226.2;C21;14.4;18.1
45;3;252.3;C21;15;18.1
46;3;226.2;C21;18.1;21.7
47;3;261;C21;25.3;25.3
48;3;243.6;C21;28.9;28.9
49;3;261;C21;25.3;23.5
50;3;252.3;C21;28.9;25.3
51;3;247.95;C21;28.9;21.7
52;3;261;C21;28.9;25.3
53;3;247.95;C21;28.9;32.5
54;3;230.55;C21;18.1;14.4
55;3;230.55;C21;21.66;21.66
56;3;234.9;C21;18.05;25.27
57;3;265.35;C21;25.27;18.05
1;1;260;C22;121.6;124.2
2;1;260;C22;125.4;121.6
3;1;270;C22;119;116.5
4;1;270;C22;108.8;106.2
5;1;260;C22;106.2;115.2
6;1;255;C22;115.2;115.2
7;1;260;C22;112.6;122.9
8;1;260;C22;128;119
9;1;260;C22;106.2;107.5
10;1;265;C22;107.5;97.3
11;1;255;C22;117.8;107.5
12;1;240;C22;102.4;110.1
13;1;257.5;C22;117.8;110.1
14;1;262.5;C22;110.1;105
15;1;265;C22;111.4;115.2
16;1;265;C22;117.8;115.2
17;2;270;C22;94;116
18;2;240;C22;105;90
19;2;252;C22;116;119
20;2;261;C22;83;79.4
21;2;270;C22;94;90
22;2;257;C22;94;92
23;2;270;C22;108;102
24;2;278;C22;94;112
25;2;257;C22;101;112
26;2;252;C22;100;92
27;2;261;C22;102;112
28;2;252;C22;90;87
29;2;244;C22;94;108
30;2;244;C22;98;119
31;2;239;C22;101;108
32;2;278;C22;108;108
33;2;252;C22;112;101
34;2;252;C22;94;108
35;2;261;C22;126;126
36;2;252;C22;105;108
37;3;252.3;C22;126.4;133.6
38;3;269.7;C22;133.6;137.2
39;3;243.6;C22;135;137.2
40;3;234.9;C22;133.6;137.2
41;3;252.3;C22;122.7;111.9
42;3;261;C22;133.6;130
43;3;226.2;C22;148;143
44;3;226.2;C22;122.7;119.1
45;3;252.3;C22;130;125
46;3;226.2;C22;144.4;137.2
47;3;261;C22;130;130
48;3;243.6;C22;144.4;137.2
49;3;261;C22;122.7;130
50;3;252.3;C22;115.5;130
51;3;247.95;C22;115.5;115.5
52;3;261;C22;130;137.2
53;3;247.95;C22;119.1;115.5
54;3;230.55;C22;140.8;130
55;3;230.55;C22;144.4;148.01
56;3;234.9;C22;133.57;140.79
57;3;265.35;C22;130;129.96
1;1;260;C23;105;111.4
2;1;260;C23;108.8;111.4
3;1;270;C23;108.8;110.1
4;1;270;C23;97.3;102.4
5;1;260;C23;103.7;120.3
6;1;255;C23;107.5;99.8
7;1;260;C23;110.1;119
8;1;260;C23;97.3;105
9;1;260;C23;99.8;105
10;1;265;C23;94.7;102.4
11;1;255;C23;99.8;97.3
12;1;240;C23;110.1;105
13;1;257.5;C23;107.5;106.2
14;1;262.5;C23;99.8;96
15;1;265;C23;93.4;96
16;1;265;C23;110.1;117.8
17;2;270;C23;94;97
18;2;240;C23;97;87
19;2;252;C23;94;108
20;2;261;C23;105;87
21;2;270;C23;62;97
22;2;257;C23;89;84
23;2;270;C23;108;102
24;2;278;C23;94;94
25;2;257;C23;101;105
26;2;252;C23;90;98
27;2;261;C23;102;112
28;2;252;C23;87;90
29;2;244;C23;92;101
30;2;244;C23;98;101
31;2;239;C23;108;108
32;2;278;C23;97;95
33;2;252;C23;87;90
34;2;252;C23;105;87
35;2;261;C23;118;112
36;2;252;C23;108;101
37;3;252.3;C23;148;158.8
38;3;269.7;C23;169.7;162.5
39;3;243.6;C23;158.8;151.6
40;3;234.9;C23;130;115.5
41;3;252.3;C23;144.4;122.7
42;3;261;C23;151.6;152
43;3;226.2;C23;169.7;159
44;3;226.2;C23;151.6;137.2
45;3;252.3;C23;145;144.4
46;3;226.2;C23;151.6;158
47;3;261;C23;158.8;137.2
48;3;243.6;C23;151.6;148
49;3;261;C23;148;148
50;3;252.3;C23;158.8;148
51;3;247.95;C23;155.2;148
52;3;261;C23;166.1;162.5
53;3;247.95;C23;151.6;158.8
54;3;230.55;C23;151.6;155.2
55;3;230.55;C23;170;169.67
56;3;234.9;C23;156;166.06
57;3;265.35;C23;133.57;140
